Date,Close
2015-10-08,243.6
2015-10-09,245.51
2015-10-10,246.3
2015-10-11,248.98
2015-10-12,245.75
2015-10-13,251
2015-10-14,254.59
2015-10-15,257.19
2015-10-16,270
2015-10-17,269.26
2015-10-18,269.99
2015-10-19,273.87
2015-10-20,272.5
2015-10-21,271.5
2015-10-22,278.25
2015-10-23,281.78
2015-10-24,290
2015-10-25,285
2015-10-26,291.69
2015-10-27,298.38
2015-10-28,306.99
2015-10-29,329.93
2015-10-30,334.89
2015-10-31,315.14
2015-11-01,328
2015-11-02,375
2015-11-03,439
2015-11-04,441.95
2015-11-05,367.49
2015-11-06,374.97
2015-11-07,389.61
2015-11-08,369.07
2015-11-09,377
2015-11-10,311
2015-11-11,320
2015-11-12,337.87
2015-11-13,340
2015-11-14,337.69
2015-11-15,324.06
2015-11-16,337.37
2015-11-17,335.36
2015-11-18,332.8
2015-11-19,318
2015-11-20,321
2015-11-21,326.22
2015-11-22,324.17
2015-11-23,320.11
2015-11-24,315.21
2015-11-25,329.98
2015-11-26,350.82
2015-11-27,353.78
2015-11-28,357.01
2015-11-29,373.87
2015-11-30,377.32
2015-12-01,352.52
2015-12-02,365.21
2015-12-03,358.5
2015-12-04,369.2
2015-12-05,392.66
2015-12-06,392.18
2015-12-07,395
2015-12-08,422.2
2015-12-09,415
2015-12-10,420.79
2015-12-11,467.3
2015-12-12,435.55
2015-12-13,436.67
2015-12-14,452.52
2015-12-15,445.18
2015-12-16,451.2
2015-12-17,458.75
2015-12-18,464.5
2015-12-19,458.83
2015-12-20,436
2015-12-21,438.63
2015-12-22,435.98
2015-12-23,454.75
2015-12-24,457.75
2015-12-25,445.1
2015-12-26,412.25
2015-12-27,428.69
2015-12-28,421.86
2015-12-29,431.6
2015-12-30,429.06
2015-12-31,432.68
2016-01-01,432.7
2016-01-02,427.33
2016-01-03,426
2016-01-04,432.57
2016-01-05,427.88
2016-01-06,441
2016-01-07,458.3
2016-01-08,452.14
2016-01-09,446.84
2016-01-10,449.65
2016-01-11,447.02
2016-01-12,431.65
2016-01-13,432.23
2016-01-14,420.35
2016-01-15,370.87
2016-01-16,384.23
2016-01-17,380.6
2016-01-18,382.43
2016-01-19,380.12
2016-01-20,418.17
2016-01-21,402.06
2016-01-22,404.99
2016-01-23,389.49
2016-01-24,397.58
2016-01-25,392.41
2016-01-26,392.7
2016-01-27,381.19
2016-01-28,369.7
2016-01-29,378.63
2016-01-30,379.56
2016-01-31,374.22
2016-02-01,373.58
2016-02-02,372.5
2016-02-03,371.52
2016-02-04,386.21
2016-02-05,379.68
2016-02-06,374.77
2016-02-07,376.57
2016-02-08,372.98
2016-02-09,374
2016-02-10,380.42
2016-02-11,376.99
2016-02-12,384.99
2016-02-13,398.71
2016-02-14,405.22
2016-02-15,400.73
2016-02-16,407.05
2016-02-17,419.96
2016-02-18,421.04
2016-02-19,420.9
2016-02-20,439.99
2016-02-21,436.21
2016-02-22,438.04
2016-02-23,418.86
2016-02-24,420.5
2016-02-25,420.01
2016-02-26,433.2
2016-02-27,423.04
2016-02-28,434
2016-02-29,434.86
2016-03-01,432.49
2016-03-02,418.65
2016-03-03,419.65
2016-03-04,405.1
2016-03-05,378.71
2016-03-06,401.41
2016-03-07,413.48
2016-03-08,410.3
